,startstationid,startstationname
0,72.0,W 52 St & 11 Ave
1,79.0,Franklin St & W Broadway
2,82.0,St James Pl & Pearl St
3,83.0,Atlantic Ave & Fort Greene Pl
4,116.0,W 17 St & 8 Ave
5,119.0,Park Ave & St Edwards St
6,120.0,Lexington Ave & Classon Ave
7,127.0,Barrow St & Hudson St
8,128.0,MacDougal St & Prince St
9,137.0,E 56 St & Madison Ave
10,143.0,Clinton St & Joralemon St
11,144.0,Nassau St & Navy St
12,146.0,Hudson St & Reade St
13,147.0,Greenwich St & Warren St
14,150.0,E 2 St & Avenue C
15,151.0,Cleveland Pl & Spring St
16,152.0,Warren St & Church St
17,153.0,E 40 St & 5 Ave
18,157.0,Henry St & Atlantic Ave
19,160.0,E 37 St & Lexington Ave
20,161.0,LaGuardia Pl & W 3 St
21,164.0,E 47 St & 2 Ave
22,167.0,E 39 St & 3 Ave
23,168.0,W 18 St & 6 Ave
24,173.0,Broadway & W 49 St
25,174.0,E 25 St & 1 Ave
26,195.0,Liberty St & Broadway
27,212.0,W 16 St & The High Line
28,216.0,Columbia Heights & Cranberry St
29,217.0,Old Fulton St
30,223.0,W 13 St & 7 Ave
31,224.0,Spruce St & Nassau St
32,225.0,W 14 St & The High Line
33,228.0,E 48 St & 3 Ave
34,229.0,Great Jones St
35,232.0,Cadman Plaza E & Tillary St
36,233.0,Cadman Plaza W & Pierrepont St
37,236.0,St Marks Pl & 2 Ave
38,237.0,E 11 St & 2 Ave
39,238.0,Bank St & Washington St
40,239.0,Willoughby St & Fleet St
41,241.0,DeKalb Ave & S Portland Ave
42,242.0,Carlton Ave & Flushing Ave
43,243.0,Fulton St & Rockwell Pl
44,244.0,Willoughby Ave & Hall St
45,245.0,Myrtle Ave & St Edwards St
46,247.0,Perry St & Bleecker St
47,248.0,Laight St & Hudson St
48,249.0,Harrison St & Hudson St
49,250.0,Lafayette St & Jersey St
50,250.0,Lafayette St & Jersey St N
51,251.0,Mott St & Prince St
52,252.0,MacDougal St & Washington Sq
53,253.0,W 13 St & 5 Ave
54,253.0,W 13 St & 5 Ave -moved to 5947.04
55,254.0,W 11 St & 6 Ave
56,255.0,NYCBS Depot - SSP
57,257.0,Lispenard St & Broadway
58,258.0,DeKalb Ave & Vanderbilt Ave
59,259.0,South St & Whitehall St
60,260.0,Broad St & Bridge St
61,261.0,Johnson St & Gold St
