startstationname,endstationname,value,source,target
1 Ave & E 110 St,1 Ave & E 110 St,348,733,733
1 Ave & E 110 St,2 Ave & E 96 St,1700,733,568
1 Ave & E 110 St,E 118 St & 1 Ave,272,733,728
1 Ave & E 110 St,E 85 St & 3 Ave,307,733,450
1 Ave & E 110 St,E 91 St & 2 Ave,399,733,554
1 Ave & E 110 St,E 93 St & 2 Ave,277,733,545
1 Ave & E 110 St,Lenox Ave & W 111 St,729,733,757
1 Ave & E 110 St,Lexington Ave & E 111 St,730,733,739
1 Ave & E 110 St,Park Ave & E 124 St,365,733,744
1 Ave & E 110 St,Pleasant Ave & E 116 St,784,733,734
1 Ave & E 15 St,1 Ave & E 18 St,513,282,325
1 Ave & E 15 St,1 Ave & E 30 St,777,282,316
1 Ave & E 15 St,E 15 St & 3 Ave,990,282,86
1 Ave & E 15 St,E 17 St & Broadway,843,282,275
1 Ave & E 15 St,E 20 St & FDR Drive,1035,282,264
1 Ave & E 15 St,E 23 St & 1 Ave,1184,282,320
1 Ave & E 15 St,E 25 St & 1 Ave,493,282,25
1 Ave & E 15 St,E 25 St & 2 Ave,451,282,285
1 Ave & E 15 St,E 27 St & 1 Ave,485,282,332
1 Ave & E 15 St,E 39 St & 2 Ave,427,282,296
1 Ave & E 16 St,1 Ave & E 30 St,4227,283,316
1 Ave & E 16 St,Broadway & E 14 St,2615,283,79
1 Ave & E 16 St,Broadway & E 22 St,2321,283,186
1 Ave & E 16 St,E 15 St & 3 Ave,5260,283,86
1 Ave & E 16 St,E 17 St & Broadway,4594,283,275
1 Ave & E 16 St,E 20 St & FDR Drive,5746,283,264
1 Ave & E 16 St,E 23 St & 1 Ave,5113,283,320
1 Ave & E 16 St,E 25 St & 1 Ave,3345,283,25
1 Ave & E 16 St,E 25 St & 2 Ave,2458,283,285
1 Ave & E 16 St,E 27 St & 1 Ave,3822,283,332
1 Ave & E 18 St,1 Ave & E 30 St,2938,325,316
1 Ave & E 18 St,Broadway & E 14 St,1979,325,79
1 Ave & E 18 St,Broadway & E 22 St,3457,325,186
1 Ave & E 18 St,E 15 St & 3 Ave,4205,325,86
1 Ave & E 18 St,E 17 St & Broadway,5322,325,275
1 Ave & E 18 St,E 20 St & FDR Drive,4365,325,264
1 Ave & E 18 St,E 20 St & Park Ave,2953,325,281
1 Ave & E 18 St,E 23 St & 1 Ave,1890,325,320
1 Ave & E 18 St,E 27 St & 1 Ave,2366,325,332
1 Ave & E 18 St,W 21 St & 6 Ave,2000,325,214
1 Ave & E 30 St,1 Ave & E 16 St,1921,316,283
1 Ave & E 30 St,Broadway & W 32 St,2696,316,276
1 Ave & E 30 St,E 20 St & 2 Ave,2320,316,238
1 Ave & E 30 St,E 32 St & Park Ave,3091,316,249
1 Ave & E 30 St,E 39 St & 2 Ave,2390,316,296
1 Ave & E 30 St,Pershing Square North,4625,316,297
1 Ave & E 30 St,W 31 St & 7 Ave,5407,316,164
1 Ave & E 30 St,W 33 St & 7 Ave,4137,316,269
1 Ave & E 30 St,W 38 St & 8 Ave,2198,316,302
1 Ave & E 30 St,W 41 St & 8 Ave,3074,316,254
1 Ave & E 44 St,1 Ave & E 62 St,2063,232,445
1 Ave & E 44 St,1 Ave & E 68 St,2138,232,444
1 Ave & E 44 St,1 Ave & E 78 St,1965,232,443
1 Ave & E 44 St,E 47 St & 2 Ave,1445,232,21
1 Ave & E 44 St,E 47 St & Park Ave,1485,232,147
1 Ave & E 44 St,E 51 St & 1 Ave,1549,232,231
1 Ave & E 44 St,E 58 St & 1 Ave,1296,232,506
1 Ave & E 44 St,FDR Drive & E 35 St,2213,232,279
1 Ave & E 44 St,W 33 St & 7 Ave,1927,232,269
1 Ave & E 44 St,W 41 St & 8 Ave,2110,232,254
1 Ave & E 62 St,1 Ave & E 68 St,9214,445,444
1 Ave & E 62 St,1 Ave & E 78 St,5449,445,443
1 Ave & E 62 St,3 Ave & E 62 St,1565,445,437
1 Ave & E 62 St,E 47 St & Park Ave,1738,445,147
1 Ave & E 62 St,E 52 St & 2 Ave,2029,445,220
1 Ave & E 62 St,E 72 St & York Ave,2109,445,458
1 Ave & E 62 St,E 74 St & 1 Ave,1926,445,622
1 Ave & E 62 St,E 84 St & 1 Ave,2049,445,451
1 Ave & E 62 St,E 85 St & 3 Ave,1559,445,450
1 Ave & E 62 St,Queens Plaza North & Crescent St,2305,445,433
1 Ave & E 68 St,1 Ave & E 62 St,4792,444,445
1 Ave & E 68 St,1 Ave & E 78 St,6028,444,443
1 Ave & E 68 St,3 Ave & E 62 St,4261,444,437
1 Ave & E 68 St,E 47 St & Park Ave,4270,444,147
1 Ave & E 68 St,E 52 St & 2 Ave,2702,444,220
1 Ave & E 68 St,E 84 St & 1 Ave,3236,444,451
1 Ave & E 68 St,E 85 St & 3 Ave,3175,444,450
1 Ave & E 68 St,E 88 St & 1 Ave,2562,444,537
1 Ave & E 68 St,Lexington Ave & E 63 St,5706,444,457
1 Ave & E 68 St,Pershing Square North,2952,444,297
1 Ave & E 78 St,1 Ave & E 62 St,2457,443,445
1 Ave & E 78 St,1 Ave & E 68 St,2764,443,444
1 Ave & E 78 St,1 Ave & E 78 St,1976,443,443
1 Ave & E 78 St,5 Ave & E 78 St,2039,443,446
1 Ave & E 78 St,E 47 St & Park Ave,2312,443,147
1 Ave & E 78 St,E 77 St & 3 Ave,3252,443,456
